document,quotation,Group,Codes,Themes
635,"The wildcard pattern is a special case of a ‘capture’ pattern: it accepts any value, but does not bind it to a variable. The idea behind this rule is to support repeated use of the wildcard in patterns. While (x, x) is an error, (_, _) is legal.

Particularly in larger (sequence) patterns, it is important to allow the pattern to concentrate on values with actual significance while ignoring anything else. Without a wildcard, it would become necessary to ‘invent’ a number of local variables, which would be bound but never used. Even when sticking to naming conventions and using e.g. _1, _2, _3 to name irrelevant values, say, this still introduces visual clutter and can hurt performance (compare the sequence pattern (x, y, *z) to (_, y, *_), where the *z forces the interpreter to copy a potentially very long sequence, whereas the second version simply compiles to code along the lines of y = seq[1]).

There has been much discussion about the choice of the underscore as _ as a wildcard pattern, i.e. making this one name non-binding. However, the underscore is already heavily used as an ‘ignore value’ marker in iterable unpacking. Since the wildcard pattern _ never binds, this use of the underscore does not interfere with other uses such as inside the REPL or the gettext module.

It has been proposed to use ... (i.e., the ellipsis token) or * (star) as a wildcard. However, both these look as if an arbitrary number of items is omitted:

case [a, ..., z]: ... case [a, *, z]: ... 

Either example looks like it would match a sequence of two or more items, capturing the first and last values. While that may be the ultimate “wildcard”, it does not convey the desired semantics.

An alternative that does not suggest an arbitrary number of items would be ?. This is even being proposed independently from pattern matching in PEP 640. We feel however that using ? as a special “assignment” target is likely more confusing to Python users than using _. It violates Python’s (admittedly vague) principle of using punctuation characters only in ways similar to how they are used in common English usage or in high school math, unless the usage is very well established in other programming languages (like, e.g., using a dot for member access).

The question mark fails on both counts: its use in other programming languages is a grab-bag of usages only vaguely suggested by the idea of a “question”. For example, it means “any character” in shell globbing, “maybe” in regular expressions, “conditional expression” in C and many C-derived languages, “predicate function” in Scheme, “modify error handling” in Rust, “optional argument” and “optional chaining” in TypeScript (the latter meaning has also been proposed for Python by PEP 505). An as yet unnamed PEP proposes it to mark optional types, e.g. int?.

Another common use of ? in programming systems is “help”, for example, in IPython and Jupyter Notebooks and many interactive command-line utilities.

In addition, this would put Python in a rather unique position: The underscore is as a wildcard pattern in every programming language with pattern matching that we could find (including C#, Elixir, Erlang, F#, Grace, Haskell, Mathematica, OCaml, Ruby, Rust, Scala, Swift, and Thorn). Keeping in mind that many users of Python also work with other programming languages, have prior experience when learning Python, and may move on to other languages after having learned Python,  standards are imporwe find that such well-establishedtant and relevant with respect to readability and learnability. In our view, concerns that this wildcard means that a regular name received special treatment are not strong enough to introduce syntax that would make Python special.",Patterns,Wildcard Pattern,Design Decision
635,"It is good programming style to use named constants for parametric values or to clarify the meaning of particular values. Clearly, it would be preferable to write case (HttpStatus.OK, body): over case (200, body):, for example. The main issue that arises here is how to distinguish capture patterns (variable bindings) from value patterns. The general discussion surrounding this issue has brought forward a plethora of options, which we cannot all fully list here.",Patterns,Distinguishing Capture and Value Patterns,Design Decision
635,"Strictly speaking, value patterns are not really necessary, but could be implemented using guards, i.e. case (status, body) if status == HttpStatus.OK:. Nonetheless, the convenience of value patterns is unquestioned and obvious.",Patterns,Value Pattern,Design Decision
635,"The observation that constants tend to be written in uppercase letters or collected in enumeration-like namespaces suggests possible rules to discern constants syntactically. However, the idea of using upper- vs. lowercase as a marker has been met with scepticism since there is no similar precedence in core Python (although it is common in other languages). We therefore only adopted the rule that any dotted name (i.e., attribute access) is to be interpreted as a value pattern, for example HttpStatus.OK above. This precludes, in particular, local variables and global variables defined in the current module from acting as constants.",Patterns,Distinguishing Capture and Value Patterns,Design Decision
635,"A proposed rule to use a leading dot (e.g. .CONSTANT) for that purpose was criticised because it was felt that the dot would not be a visible-enough marker for that purpose. Partly inspired by forms found in other programming languages, a number of different markers/sigils were proposed (such as ^CONSTANT, $CONSTANT, ==CONSTANT, CONSTANT?, or the word enclosed in backticks), although there was no obvious or natural choice. The current proposal therefore leaves the discussion and possible introduction of such a ‘constant’ marker for a future PEP.",Patterns,Distinguishing Capture and Value Patterns,Design Decision
635,"Sequence patterns follow as closely as possible the already established syntax and semantics of iterable unpacking. Of course, subpatterns take the place of assignment targets (variables, attributes and subscript). Moreover, the sequence pattern only matches a carefully selected set of possible subjects, whereas iterable unpacking can be applied to any iterable.

As in iterable unpacking, we do not distinguish between ‘tuple’ and ‘list’ notation. [a, b, c], (a, b, c) and a, b, c are all equivalent. While this means we have a redundant notation and checking specifically for lists or tuples requires more effort (e.g. case list([a, b, c])), we mimic iterable unpacking as much as possible.",Sequence Patterns,Reuse of Iterable Unpacking Semantics,Design Decision
635,"A starred pattern will capture a sub-sequence of arbitrary length, again mirroring iterable unpacking. Only one starred item may be present in any sequence pattern. In theory, patterns such as (*_, 3, *_) could be understood as expressing any sequence containing the value 3. In practice, however, this would only work for a very narrow set of use cases and lead to inefficient backtracking or even ambiguities otherwise.",Sequence Patterns,Restricting Multiple Starred Patterns,Design Decision
635,"The sequence pattern does not iterate through an iterable subject. All elements are accessed through subscripting and slicing, and the subject must be an instance of collections.abc.Sequence. This includes, of course, lists and tuples, but excludes e.g. sets and dictionaries. While it would include strings and bytes, we make an exception for these (see below).

A sequence pattern cannot just iterate through any iterable object. The consumption of elements from the iteration would have to be undone if the overall pattern fails, which is not feasible.
To identify sequences we cannot rely on len() and subscripting and slicing alone, because sequences share these protocols with mappings (e.g. dict) in this regard. It would be surprising if a sequence pattern also matched a dictionaries or other objects implementing the mapping protocol (i.e. __getitem__). The interpreter therefore performs an instance check to ensure that the subject in question really is a sequence (of known type). (As an optimization of the most common case, if the subject is exactly a list or a tuple, the instance check can be skipped.)",Sequence Patterns,Matching Only Sequence Objects,Design Decision
635,"String and bytes objects have a dual nature: they are both ‘atomic’ objects in their own right, as well as sequences (with a strongly recursive nature in that a string is a sequence of strings). The typical behavior and use cases for strings and bytes are different enough from those of tuples and lists to warrant a clear distinction. It is in fact often unintuitive and unintended that strings pass for sequences, as evidenced by regular questions and complaints. Strings and bytes are therefore not matched by a sequence pattern, limiting the sequence pattern to a very specific understanding of ‘sequence’. The built-in bytearray type, being a mutable version of bytes, also deserves an exception; but we don’t intend to enumerate all other types that may be used to represent bytes (e.g. some, but not all, instances of memoryview and array.array).",Sequence Patterns,Excluding Strings and Bytes from Sequence Patterns,Design Decision
635,"To avoid overly expensive matching algorithms, keys must be literals or value patterns.",Mapping Patterns,Restricting Mapping Pattern Keys to Literals and Value Patterns,Design Decision
635,"There is a subtle reason for using get(key, default) instead of __getitem__(key) followed by a check for AttributeError: if the subject happens to be a defaultdict, calling __getitem__ for a non-existent key would add the key. Using get() avoids this unexpected side effect.",Mapping Patterns,Avoiding Side Effects During Key Lookup,Design Decision
635,"The mapping pattern reflects the common usage of dictionary lookup: it allows the user to extract some values from a mapping by means of constant/known keys and have the values match given subpatterns. Extra keys in the subject are ignored even if **rest is not present. This is different from sequence patterns, where extra items will cause a match to fail. But mappings are actually different from sequences: they have natural structural sub-typing behavior, i.e., passing a dictionary with extra keys somewhere will likely just work. Should it be necessary to impose an upper bound on the mapping and ensure that no additional keys are present, then the usual double-star-pattern **rest can be used. The special case **_ with a wildcard, however, is not supported as it would not have any effect, but might lead to an incorrect understanding of the mapping pattern’s semantics.",Mapping Patterns,Ignoring Extra Mapping Keys,Design Decision
635,"Class patterns fulfill two purposes: checking whether a given subject is indeed an instance of a specific class, and extracting data from specific attributes of the subject. Anecdotal evidence revealed that isinstance() is one of the most often used functions in Python in terms of static occurrences in programs. Such instance checks typically precede a subsequent access to information stored in the object, or a possible manipulation thereof. A typical pattern might be along the lines of:

def traverse_tree(node):     if isinstance(node, Node):         traverse_tree(node.left)         traverse_tree(node.right)     elif isinstance(node, Leaf):         print(node.value) 

In many cases class patterns occur nested, as in the example given in the motivation:

We envision two possibilities for dealing with this issue: either explicitly name the attributes of interest, or provide an additional mapping that tells the interpreter which attributes to extract and in which order. Both approaches are supported. Moreover, explicitly naming the attributes of interest lets you further specify the required structure of an object; if an object lacks an attribute specified by the pattern, the match fails.",Class Patterns,Combining Instance Checks and Attribute Extraction,Design Decision
635,"The class pattern lets you concisely specify both an instance check and relevant attributes (with possible further constraints). It is thereby very tempting to write, e.g., case Node(left, right): in the first case above and case Leaf(value): in the second. While this indeed works well for languages with strict algebraic data types, it is problematic with the structure of Python objects.

When dealing with general Python objects, we face a potentially very large number of unordered attributes: an instance of Node contains a large number of attributes (most of which are ‘special methods’ such as __repr__). Moreover, the interpreter cannot reliably deduce the ordering of attributes. For an object that represents a circle, say, there is no inherently obvious ordering of the attributes x, y and radius.",Class Patterns,Positional Class Patterns and Object Structure,Design Decision
635,"Attributes that are explicitly named pick up the syntax of named arguments. If an object of class Node has two attributes left and right as above, the pattern Node(left=x, right=y) will extract the values of both attributes and assign them to x and y, respectively. The data flow from left to right seems unusual, but is in line with mapping patterns and has precedents such as assignments via as in with- or import-statements (and indeed AS patterns).

Naming the attributes in question explicitly will be mostly used for more complex cases where the positional form (below) is insufficient.

",Class Patterns,Named Attribute Patterns,Design Decision
635,"The class field __match_args__ specifies a number of attributes together with their ordering, allowing class patterns to rely on positional sub-patterns without having to explicitly name the attributes in question. This is particularly handy for smaller objects or instances of data classes, where the attributes of interest are rather obvious and often have a well-defined ordering. In a way, __match_args__ is similar to the declaration of formal parameters, which allows calling functions with positional arguments rather than naming all the parameters.",Class Patterns,Positional Patterns with match_args,Design Decision
635,"The syntax of class patterns is based on the idea that de-construction mirrors the syntax of construction. This is already the case in virtually any Python construct, be assignment targets, function definitions or iterable unpacking. In all these cases, we find that the syntax for sending and that for receiving ‘data’ are virtually identical.

Assignment targets such as variables, attributes and subscripts: foo.bar[2] = foo.bar[3];

Function definitions: a function defined with def foo(x, y, z=6) is called as, e.g., foo(123, y=45), where the actual arguments provided at the call site are matched against the formal parameters at the definition site;

Iterable unpacking: a, b = b, a or [a, b] = [b, a] or (a, b) = (b, a), just to name a few equivalent possibilities.

Using the same syntax for reading and writing, l- and r-values, or construction and de-construction is widely accepted for its benefits in thinking about data, its flow and manipulation. This equally extends to the explicit construction of instances, where class patterns C(p, q) deliberately mirror the syntax of creating instances.

The special case for the built-in classes bool, bytearray etc. (where e.g. str(x) captures the subject value in x) can be emulated by a user-defined class as follows:

class MyClass:     __match_args__ = [""__myself__""]     __myself__ = property(lambda self: self) ",Class Patterns,Mirroring Construction and Deconstruction Syntax,Design Decision
635,"Type annotations for pattern variables. The proposal was to combine patterns with type annotations:

match x:     case [a: int, b: str]: print(f""An int {a} and a string {b}:"")     case [a: int, b: int, c: int]: print(""Three ints"", a, b, c)     ... 

This idea has a lot of problems. For one, the colon can only be used inside of brackets or parentheses, otherwise the syntax becomes ambiguous. And because Python disallows isinstance() checks on generic types, type annotations containing generics will not work as expected.",Patterns,Rejecting Type Annotations in Patterns,Design Decision
635, 0 | 1: with | denoting alternative patterns.,OR Patterns,Alternative Pattern Composition,Design Decision
635,the underscore _ was widely adopted as a wildcard...,Wildcard Patterns,Using _ as Wildcard Pattern,Design Decision
635,patterns became increasingly independent of the original tuple constructors.,Patterns,Separating Patterns from Object Constructors,Design Decision
635,we simply use isinstance() together with the match_args field...,Class Patterns,Using isinstance() and __match_args__ for Class Patterns,Design Decision
635,"we also added a more direct way to specify the presence of, or constraints on specific attributes.",Class Patterns,Supporting Attribute-Based Matching with Object Patterns,Design Decision
636,"Your main loop will need to get input from the user and split it into words, let’s say a list of strings like this:

command = input(""What are you doing next? "") # analyze the result of command.split() 

The next step is to interpret the words. Most of our commands will have two words: an action and an object. So you may be tempted to do the following:

[action, obj] = command.split() ... # interpret action, obj 

The problem with that line of code is that it’s missing something: what if the user types more or fewer than 2 words? To prevent this problem you can either check the length of the list of words, or capture the ValueError that the statement above would raise.

You can use a matching statement instead:",Sequence Patterns,Structural Matching of Sequences,Key Feature
636,"you can use either parenthesis, brackets, or just comma separation as synonyms... All forms will match any sequence",Sequence Patterns,Reuse of Iterable Unpacking Syntax,Design Decision
636,"Even if most commands have the action/object form, you might want to have user commands of different lengths. For example, you might want to add single verbs with no object like look or quit. A match statement can (and is likely to) have more than one case:

match command.split():     case [action]:         ... # interpret single-verb action     case [action, obj]:         ... # interpret action, obj 

The match statement will check patterns from top to bottom. If the pattern doesn’t match the subject, the next pattern will be tried. However, once the first matching pattern is found, the body of that case is executed, and all further cases are ignored. This is similar to the way that an if/elif/elif/... statement works.",Match Statement,First Matching Case Selection,Design Decision
636,"Your code still needs to look at the specific actions and conditionally execute different logic depending on the specific action (e.g., quit, attack, or buy). You could do that using a chain of if/elif/elif/..., or using a dictionary of functions, but here we’ll leverage pattern matching to solve that task. Instead of a variable, you can use literal values in patterns (like ""quit"", 42, or None). This allows you to write:

match command.split():     case [""quit""]:         print(""Goodbye!"")         quit_game()     case [""look""]:         current_room.describe()     case [""get"", obj]:         character.get(obj, current_room)     case [""go"", direction]:         current_room = current_room.neighbor(direction)     # The rest of your commands go here 

A pattern like [""get"", obj] will match only 2-element sequences that have a first element equal to ""get"". It will also bind obj = subject[1].

As you can see in the go case, we also can use different variable names in different patterns.

Literal values are compared with the == operator except for the constants True, False and None which are compared with the is operator.",Literal Patterns,Using Literal Patterns for Value Matching,Design Decision
636,"You may want to print an error message saying that the command wasn’t recognized when all the patterns fail. You could use the feature we just learned and write case [*ignored_words] as your last pattern. There’s however a much simpler way:

match command.split():     case [""quit""]: ... # Code omitted for brevity     case [""go"", direction]: ...     case [""drop"", *objects]: ...     ... # Other cases     case _:         print(f""Sorry, I couldn't understand {command!r}"") 

This special pattern which is written _ (and called wildcard) always matches but it doesn’t bind any variables.

Note that this will match any object, not just sequences. As such, it only makes sense to have it by itself as the last pattern (to prevent errors, Python will stop you from using it before).",Wildcard Patterns,Wildcard Pattern Matching,Design Decision
636,"This is a good moment to step back from the examples and understand how the patterns that you have been using are built. Patterns can be nested within each other, and we have been doing that implicitly in the examples above.

There are some “simple” patterns (“simple” here meaning that they do not contain other patterns) that we’ve seen:

Capture patterns (stand-alone names like direction, action, objects). We never discussed these separately, but used them as part of other patterns.

Literal patterns (string literals, number literals, True, False, and None)

The wildcard pattern _

Until now, the only non-simple pattern we have experimented with is the sequence pattern. Each element in a sequence pattern can in fact be any other pattern. This means that you could write a pattern like [""first"", (left, right), _, *rest]. This will match subjects which are a sequence of at least three elements, where the first one is equal to ""first"" and the second one is in turn a sequence of two elements. It will also bind left=subject[1][0], right=subject[1][1], and rest = subject[3:]",Patterns,Nested Pattern Composition,Design Decision
636,"Going back to the adventure game example, you may find that you’d like to have several patterns resulting in the same outcome. For example, you might want the commands north and go north to be equivalent. You may also desire to have aliases for get X, pick up X and pick X up for any X.

The | symbol in patterns combines them as alternatives. You could for example write:

match command.split():     ... # Other cases     case [""north""] | [""go"", ""north""]:         current_room = current_room.neighbor(""north"")     case [""get"", obj] | [""pick"", ""up"", obj] | [""pick"", obj, ""up""]:         ... # Code for picking up the given object 

This is called an or pattern and will produce the expected result. Patterns are tried from left to right; this may be relevant to know what is bound if more than one alternative matches. An important restriction when writing or patterns is that all alternatives should bind the same variables. So a pattern [1, x] | [2, y] is not allowed because it would make unclear which variable would be bound after a successful match. [1, x] | [2, x] is perfectly fine and will always bind x if successful.",OR Patterns,Combining Alternative Patterns,Design Decision
636,"The first version of our “go” command was written with a [""go"", direction] pattern. The change we did in our last version using the pattern [""north""] | [""go"", ""north""] has some benefits but also some drawbacks in comparison: the latest version allows the alias, but also has the direction hardcoded, which will force us to actually have separate patterns for north/south/east/west. This leads to some code duplication, but at the same time we get better input validation, and we will not be getting into that branch if the command entered by the user is ""go figure!"" instead of a direction.

We could try to get the best of both worlds doing the following (I’ll omit the aliased version without “go” for brevity):

match command.split():     case [""go"", (""north"" | ""south"" | ""east"" | ""west"")]:         current_room = current_room.neighbor(...)         # how do I know which direction to go? 

This code is a single branch, and it verifies that the word after “go” is really a direction. But the code moving the player around needs to know which one was chosen and has no way to do so. What we need is a pattern that behaves like the or pattern but at the same time does a capture. We can do so with an as pattern:

match command.split():     case [""go"", (""north"" | ""south"" | ""east"" | ""west"") as direction]:         current_room = current_room.neighbor(direction) 

The as-pattern matches whatever pattern is on its left-hand side, but also binds the value to a name.",AS Patterns,Capturing Values from Matched Patterns,Design Decision
636,"The patterns we have explored above can do some powerful data filtering, but sometimes you may wish for the full power of a boolean expression. Let’s say that you would actually like to allow a “go” command only in a restricted set of directions based on the possible exits from the current_room. We can achieve that by adding a guard to our case. Guards consist of the if keyword followed by any expression:

match command.split():     case [""go"", direction] if direction in current_room.exits:         current_room = current_room.neighbor(direction)     case [""go"", _]:         print(""Sorry, you can't go that way"") 

The guard is not part of the pattern, it’s part of the case. It’s only checked if the pattern matches, and after all the pattern variables have been bound (that’s why the condition can use the direction variable in the example above). If the pattern matches and the condition is truthy, the body of the case executes normally. If the pattern matches but the condition is falsy, the match statement proceeds to check the next case as if the pattern hadn’t matched (with the possible side-effect of having already bound some variables).
",Guards,Adding Conditions to Case Clauses,Design Decision
636,"our adventure is becoming a success and you have been asked to implement a graphical interface. Your UI toolkit of choice allows you to write an event loop where you can get a new event object by calling event.get(). The resulting object can have different type and attributes according to the user action, for example:

A KeyPress object is generated when the user presses a key. It has a key_name attribute with the name of the key pressed, and some other attributes regarding modifiers.

A Click object is generated when the user clicks the mouse. It has an attribute position with the coordinates of the pointer.

A Quit object is generated when the user clicks on the close button for the game window.

Rather than writing multiple isinstance() checks, you can use patterns to recognize different kinds of objects, and also apply patterns to its attributes:

match event.get():     case Click(position=(x, y)):         handle_click_at(x, y)     case KeyPress(key_name=""Q"") | Quit():         game.quit()     case KeyPress(key_name=""up arrow""):         game.go_north()     ...     case KeyPress():         pass # Ignore other keystrokes     case other_event:         raise ValueError(f""Unrecognized event: {other_event}"") 

A pattern like Click(position=(x, y)) only matches if the type of the event is a subclass of the Click class. It will also require that the event has a position attribute that matches the (x, y) pattern. If there’s a match, the locals x and y will get the expected values.

A pattern like KeyPress(), with no arguments will match any object which is an instance of the KeyPress class. Only the attributes you specify in the pattern are matched, and any other attributes are ignored.",Class Patterns,Matching Object Types and Attributes,Design Decision
636,"Your adventure is becoming a success and you have been asked to implement a graphical interface. Your UI toolkit of choice allows you to write an event loop where you can get a new event object by calling event.get(). The resulting object can have different type and attributes according to the user action, for example:

    A KeyPress object is generated when the user presses a key. It has a key_name attribute with the name of the key pressed, and some other attributes regarding modifiers.

    A Click object is generated when the user clicks the mouse. It has an attribute position with the coordinates of the pointer.

    A Quit object is generated when the user clicks on the close button for the game window.

Rather than writing multiple isinstance() checks, you can use patterns to recognize different kinds of objects, and also apply patterns to its attributes:

match event.get():     case Click(position=(x, y)):         handle_click_at(x, y)     case KeyPress(key_name=""Q"") | Quit():         game.quit()     case KeyPress(key_name=""up arrow""):         game.go_north()     ...     case KeyPress():         pass # Ignore other keystrokes     case other_event:         raise ValueError(f""Unrecognized event: {other_event}"") ",Class Patterns,Supporting Positional Attribute Matching,Design Decision
636,"The previous section described how to match named attributes when doing an object match. For some objects it could be convenient to describe the matched arguments by position (especially if there are only a few attributes and they have a “standard” ordering). If the classes that you are using are named tuples or dataclasses, you can do that by following the same order that you’d use when constructing an object. For example, if the UI framework above defines their class like this:

from dataclasses import dataclass  @dataclass class Click:     position: tuple     button: Button 

then you can rewrite your match statement above as:

match event.get():     case Click((x, y)):         handle_click_at(x, y) 

The (x, y) pattern will be automatically matched against the position attribute, because the first argument in the pattern corresponds to the first attribute in your dataclass definition.

Other classes don’t have a natural ordering of their attributes so you’re required to use explicit names in your pattern to match with their attributes. However, it’s possible to manually specify the ordering of the attributes allowing positional matching, like in this alternative definition:

class Click:     __match_args__ = (""position"", ""button"")     def __init__(self, pos, btn):         self.position = pos         self.button = btn         ... 

The __match_args__ special attribute defines an explicit order for your attributes that can be used in patterns like case Click((x,y)).",Class Patterns,Supporting Positional Attribute Matching,Design Decision
636,"Your pattern above treats all mouse buttons the same, and you have decided that you want to accept left-clicks, and ignore other buttons. While doing so, you notice that the button attribute is typed as a Button which is an enumeration built with enum.Enum. You can in fact match against enumeration values like this:

match event.get():     case Click((x, y), button=Button.LEFT):  # This is a left click         handle_click_at(x, y)     case Click():         pass  # ignore other clicks 

This will work with any dotted name (like math.pi). However an unqualified name (i.e. a bare name with no dots) will be always interpreted as a capture pattern, so avoid that ambiguity by always using qualified constants in patterns.
",Value Patterns,Using Qualified Names for Constant Matching,Design Decision
636,"You have decided to make an online version of your game. All of your logic will be in a server, and the UI in a client which will communicate using JSON messages. Via the json module, those will be mapped to Python dictionaries, lists and other builtin objects.

Our client will receive a list of dictionaries (parsed from JSON) of actions to take, each element looking for example like these:

{""text"": ""The shop keeper says 'Ah! We have Camembert, yes sir'"", ""color"": ""blue""}

If the client should make a pause {""sleep"": 3}

To play a sound {""sound"": ""filename.ogg"", ""format"": ""ogg""}

Until now, our patterns have processed sequences, but there are patterns to match mappings based on their present keys. In this case you could use:

for action in actions:     match action:         case {""text"": message, ""color"": c}:             ui.set_text_color(c)             ui.display(message)         case {""sleep"": duration}:             ui.wait(duration)         case {""sound"": url, ""format"": ""ogg""}:             ui.play(url)         case {""sound"": _, ""format"": _}:             warning(""Unsupported audio format"") 

The keys in your mapping pattern need to be literals, but the values can be any pattern. As in sequence patterns, all subpatterns have to match for the general pattern to match.

You can use **rest within a mapping pattern to capture additional keys in the subject. Note that if you omit this, extra keys in the subject will be ignored while matching, i.e. the message {""text"": ""foo"", ""color"": ""red"", ""style"": ""bold""} will match the first pattern in the example above.",Mapping Patterns,Matching Mappings by Keys,Design Decision
636,"The code above could use some validation. Given that messages came from an external source, the types of the field could be wrong, leading to bugs or security issues.

Any class is a valid match target, and that includes built-in classes like bool str or int. That allows us to combine the code above with a class pattern. So instead of writing {""text"": message, ""color"": c} we can use {""text"": str() as message, ""color"": str() as c} to ensure that message and c are both strings. For many builtin classes (see PEP 634 for the whole list), you can use a positional parameter as a shorthand, writing str(c) rather than str() as c. The fully rewritten version looks like this:

for action in actions:     match action:         case {""text"": str(message), ""color"": str(c)}:             ui.set_text_color(c)             ui.display(message)         case {""sleep"": float(duration)}:             ui.wait(duration)         case {""sound"": str(url), ""format"": ""ogg""}:             ui.play(url)         case {""sound"": _, ""format"": _}:             warning(""Unsupported audio format"") ",Class Patterns,Using Class Patterns for Type Validation,Design Decision
